# basis_idx tree_idx start_node n_nodes
0 0 0 6365
0 1 6365 4345
0 2 10710 6043
0 3 16753 4601
0 4 21354 5057
0 5 26411 1967
0 6 28378 11235
0 7 39613 3349
0 8 42962 3519
0 9 46481 6803
1 0 53284 12643
1 1 65927 12461
1 2 78388 8797
1 3 87185 12483
1 4 99668 8987
1 5 108655 9265
1 6 117920 9615
1 7 127535 11835
1 8 139370 12761
1 9 152131 9101
2 0 161232 16929
2 1 178161 15925
2 2 194086 17689
2 3 211775 17245
2 4 229020 16931
2 5 245951 17473
2 6 263424 15745
2 7 279169 17249
2 8 296418 17863
2 9 314281 17901
3 0 332182 17953
3 1 350135 16283
3 2 366418 18207
3 3 384625 18033
3 4 402658 18145
3 5 420803 18169
3 6 438972 17051
3 7 456023 18515
3 8 474538 18511
3 9 493049 19077
4 0 512126 12935
4 1 525061 11791
4 2 536852 9035
4 3 545887 12501
4 4 558388 9885
4 5 568273 4593
4 6 572866 6683
4 7 579549 9135
4 8 588684 9813
4 9 598497 7647
5 0 606144 46573
5 1 652717 34661
5 2 687378 38937
5 3 726315 35781
5 4 762096 42879
5 5 804975 41383
5 6 846358 35533
5 7 881891 34979
5 8 916870 11575
5 9 928445 33743
6 0 962188 67237
6 1 1029425 66781
6 2 1096206 66003
6 3 1162209 67495
6 4 1229704 68153
6 5 1297857 65401
6 6 1363258 66309
6 7 1429567 66611
6 8 1496178 65711
6 9 1561889 67899
7 0 1629788 24067
7 1 1653855 60361
7 2 1714216 23683
7 3 1737899 56489
7 4 1794388 55351
7 5 1849739 22685
7 6 1872424 22429
7 7 1894853 56885
7 8 1951738 59229
7 9 2010967 58649
8 0 2069616 53443
8 1 2123059 52503
8 2 2175562 55927
8 3 2231489 58359
8 4 2289848 54417
8 5 2344265 52801
8 6 2397066 55821
8 7 2452887 51501
8 8 2504388 52121
8 9 2556509 53369
9 0 2609878 24757
9 1 2634635 14379
9 2 2649014 16421
9 3 2665435 12959
9 4 2678394 23727
9 5 2702121 22739
9 6 2724860 13655
9 7 2738515 24549
9 8 2763064 24927
9 9 2787991 9139
